"0.ogg","Startgeräusch"
"1.ogg","Warte auf die Netzwerkkonfiguration."
"2.ogg","Kann keine Verbindung zum WLAN-Netzwerk herstellen. Bitte überprüfen Sie das WLAN-Passwort und versuchen Sie es später erneut."
"3.ogg","Kann keine Verbindung zum Server herstellen. Bitte überprüfen Sie Ihr lokales Netzwerk und versuchen Sie es später erneut."
"4.ogg","Der Roboter hat den Netzwerkkonfigurationsmodus verlassen."
"5.ogg","Netzwerk erfolgreich verbunden."
"6.ogg","Netzwerkverbindung fehlgeschlagen. Bitte versuchen Sie es später erneut."
"7.ogg","Beginne mit der Reinigung."
"8.ogg","Beginne mit der Punkt-reinigung."
"9.ogg","Beginne mit der geplanten Reinigung."
"10.ogg","Setze die Reinigung fort."
"11.ogg","Pausiert."
"12.ogg","Reinigungsaufgabe abgeschlossen."
"13.ogg","Kehre zur Basisstation zurück, um aufzuladen."
"14.ogg","Niedriger Batterie-stand. Kehre zur Basisstation zurück, um aufzuladen. Der Roboter wird nach dem Aufladen die Arbeit fortsetzen."
"15.ogg","Ich kehre bald zum Ausgangspunkt zurück."
"16.ogg","Niedriger Batterie-stand. Ich kehre bald zum Ausgangspunkt zurück. Bitte laden Sie mich auf."
"17.ogg","Bitte bringen Sie den Roboter zur Basisstation, damit er laden kann."
"18.ogg","Lade auf."
"19.ogg","Bitte entfernen Sie den Roboter von der Basisstation, bevor Sie ihn ausschalten."
"20.ogg","Niedriger Batterie-stand."
"21.ogg","Niedriger Batterie-stand. Der Roboter wird sich ausschalten."
"22.ogg","Bitte bringen Sie den Roboter in einen zu reinigenden Bereich."
"23.ogg","Wassertank wurde installiert."
"24.ogg","Bitte überprüfen Sie, ob der Wassertank ordnungsgemäß installiert ist."
"25.ogg","Niedriger Batterie-stand. Die geplante Reinigung kann nicht durchgeführt werden."
"26.ogg","Setze auf die Werkseinstellungen zurück."
"27.ogg","Aktualisieren. Dauert etwa fünf Minuten. Schalten Sie das Gerät nicht aus und starten Sie keine Reinigungsaufgabe."
"28.ogg","Erfolgreich aktualisiert."
"29.ogg","Update fehlgeschlagen, bitte versuchen Sie es später erneut."
"30.ogg","Positioniere, bitte warten."
"31.ogg","Positionierung fehlgeschlagen. Karte ist ungültig. Der Roboter startet eine neue Reinigung."
"32.ogg","Ich habe Veränderungen in der Umgebung festgestellt. Bitte drücken Sie die Taste und starten Sie einen neuen Reinigungszyklus."
"33.ogg","Fehler beim visuellen Navigationssensor. Bitte reinigen Sie ihn und starten Sie neu."
"34.ogg","Staubbehälter nicht installiert. Bitte installieren Sie ihn."
"35.ogg","Hauptbürstenfehler. Bitte überprüfen und reinigen."
"36.ogg","Seitenbürstenfehler. Bitte überprüfen und reinigen."
"37.ogg","Fehler am rechten Rad. Bitte überprüfen und reinigen."
"38.ogg","Fehler am linken Rad. Bitte überprüfen und reinigen."
"39.ogg","Bitte reinigen Sie den Absturz-Sensor."
"40.ogg","Roboter steckt fest. Bitte bewegen Sie ihn in eine neue Position, um neu zu starten."
"41.ogg","Roboter wurde aufgehoben. Bitte bewegen Sie den Roboter wieder auf den Boden."
"42.ogg","Bitte überprüfen und reinigen Sie den Filter."
"43.ogg","Stoßstangen-Fehler. Bitte klopfen Sie sanft darauf, um zu sehen, ob er zurückfedert."
